conference,cancellations,week 1 (9/12),week 2 (9/19),week 3 (9/26),week 4 (10/3),week 5 (10/10),week 6 (10/17),week 7 (10/24),week 8 (10/31),week 9 (11/7),week 10 (11/14),week 11 (11/21),week 12 (11/28),week 13 (12/5),week 14 (12/12),week 15 (12/19),BOWL
Big 10,13,,,,,,,0,0,1,1,1,2,2,2,3,1
SEC,9,,,0,0,0,0,0,0,0,4,1,0,1,1,1,1
ACC,8,,,0,0,0,0,0,0,0,0,3,1,2,0,2,0
PAC 12,10,,,,,,,,,2,2,2,0,0,2,2,0
Big 12,6,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Team,Conference,Cancellations/Postponements,,,,,,,,,,,,,,,
Florida State,ACC,4,,,,,,,,,,,,,,,
Maryland,BIG 10,4,,,,,,,,,,,,,,,
Baylor,Big 12,3,,,,,,,,,,,,,,,
Georgia,SEC,3,,,,,,,,,,,,,,,
Miami,ACC,3,,,,,,,,,,,,,,,
Michigan,BIG 10,3,,,,,,,,,,,,,,,
Ohio State,BIG 10,3,,,,,,,,,,,,,,,
Purdue,BIG 10,3,,,,,,,,,,,,,,,
Texas A&M,SEC,3,,,,,,,,,,,,,,,
Wake Forest,ACC,3,,,,,,,,,,,,,,,
Duke,ACC,2,,,,,,,,,,,,,,,
GA Tech,ACC,2,,,,,,,,,,,,,,,
Indiana,BIG 10,2,,,,,,,,,,,,,,,
Iowa,BIG 10,2,,,,,,,,,,,,,,,
Michigan State,BIG 10,2,,,,,,,,,,,,,,,
Minnesota,BIG 10,2,,,,,,,,,,,,,,,
Missouri,SEC,2,,,,,,,,,,,,,,,
Oklahoma,Big 12,2,,,,,,,,,,,,,,,
Ole Miss,SEC,2,,,,,,,,,,,,,,,
Vanderbilt,SEC,2,,,,,,,,,,,,,,,
Wisconsin,BIG 10,2,,,,,,,,,,,,,,,
Alabama,SEC,1,,,,,,,,,,,,,,,
Auburn,SEC,1,,,,,,,,,,,,,,,
Clemson,ACC,1,,,,,,,,,,,,,,,
Houston,Big 12,1,,,,,,,,,,,,,,,
Illinois,BIG 10,1,,,,,,,,,,,,,,,
Kansas,Big 12,1,,,,,,,,,,,,,,,
LA Tech,Big 12,1,,,,,,,,,,,,,,,
LSU,SEC,1,,,,,,,,,,,,,,,
MS State,SEC,1,,,,,,,,,,,,,,,
Northwestern,BIG 10,1,,,,,,,,,,,,,,,
SMU,Big 12,1,,,,,,,,,,,,,,,
TCU,Big 12,1,,,,,,,,,,,,,,,
Tennessee,SEC,1,,,,,,,,,,,,,,,
Texas,Big 12,1,,,,,,,,,,,,,,,
Virginia,ACC,1,,,,,,,,,,,,,,,
West Virginia,Big 12,1,,,,,,,,,,,,,,,
